speaker_id,L1,L1_coded,typology,sex,YOB,age,score,WER,MER,mer_group
1,Dutch,2,0,1,1950,66,14,0.055555556,0.055555556,0
2,Thai,5,1,0,1983,33,11.5,0.071428571,0.071428571,0
3,French,3,0,0,1979,37,13.5,0.076923077,0.076923077,0
4,Thai,5,1,0,1969,47,26,0.083333333,0.083333333,0
5,French,3,0,1,1970,46,25,0.094017094,0.094017094,0
6,Polish,4,0,1,1979,37,23.5,0.101010101,0.101010101,0
7,Dutch,2,0,1,1962,54,13.5,0.111111111,0.111111111,0
8,French,3,0,0,1991,25,22,0.125,0.115384615,0
9,Polish,4,0,1,1980,36,25,0.117816092,0.117816092,0
10,Dutch,2,0,0,1978,38,21,0.118055556,0.118055556,0
11,Dutch,2,0,0,1989,27,13.5,0.118055556,0.118055556,0
12,Vietnamese,6,1,0,1989,27,26,0.120192308,0.120192308,0
13,Arabic,1,0,0,1984,32,30,0.122222222,0.122222222,1
14,Arabic,1,0,1,1994,22,20,0.125,0.125,1
15,Arabic,1,0,1,1957,59,26,0.127678571,0.126488095,1
17,French,3,0,1,1985,31,25,0.126984127,0.126984127,1
16,Polish,4,0,1,1977,39,14.5,0.126984127,0.126984127,1
18,French,3,0,1,1990,26,23,0.132411067,0.132411067,1
19,French,3,0,0,1966,50,20.5,0.132478632,0.132478632,1
21,French,3,0,1,1965,51,13,0.133928571,0.133928571,1
20,Polish,4,0,1,1962,54,14.5,0.133928571,0.133928571,1
22,Dutch,2,0,1,1950,66,14.5,0.138888889,0.138888889,1
23,Polish,4,0,1,1979,37,25.5,0.139583333,0.139583333,1
24,Arabic,1,0,0,1989,27,27,0.143995098,0.143995098,1
25,Thai,5,1,0,1984,32,13.5,0.145833333,0.145833333,1
26,Arabic,1,0,0,1977,39,25,0.15,0.15,1
27,Thai,5,1,1,1982,34,25.5,0.151295564,0.151295564,1
28,Polish,4,0,0,1974,42,24,0.152777778,0.152777778,1
29,Polish,4,0,1,1979,37,24.5,0.155555556,0.155555556,1
30,Vietnamese,6,1,1,1988,28,25,0.155608974,0.155608974,1
31,French,3,0,1,1988,28,25,0.156565657,0.156565657,1
32,Vietnamese,6,1,0,1989,27,20,0.166666667,0.166666667,1
33,French,3,0,0,1987,29,23.5,0.168055556,0.168055556,1
34,Dutch,2,0,1,1970,46,22.5,0.171428571,0.171428571,1
36,French,3,0,1,1987,29,25,0.1875,0.173611111,1
35,Vietnamese,6,1,1,1986,30,22,0.177777778,0.173611111,1
37,Dutch,2,0,0,1988,28,22,0.173611111,0.173611111,1
38,Vietnamese,6,1,0,1988,28,25.5,0.175403226,0.175403226,1
39,Dutch,2,0,0,1978,38,22.5,0.180147059,0.180147059,1
40,Dutch,2,0,1,1953,63,13.5,0.180555556,0.180555556,1
41,French,3,0,1,1988,28,20,0.184343434,0.184343434,1
42,Polish,4,0,1,1976,40,23,0.185500842,0.185500842,1
43,Polish,4,0,0,1981,35,25,0.185500842,0.185500842,1
44,French,3,0,0,1959,57,25.5,0.1875,0.1875,1
45,Arabic,1,0,1,1990,26,22,0.18872549,0.18872549,1
46,Dutch,2,0,0,1971,45,24,0.198412698,0.188888889,1
47,Polish,4,0,1,1986,30,11,0.201623377,0.194047619,1
48,Polish,4,0,1,1963,53,24,0.198717949,0.198717949,1
49,Dutch,2,0,0,1960,56,26.5,0.2125,0.198863636,1
50,French,3,0,1,1973,43,21,0.2,0.2,1
51,Polish,4,0,1,1985,31,26.5,0.203485577,0.203485577,1
52,Dutch,2,0,1,1968,48,25,0.208333333,0.208333333,1
53,Vietnamese,6,1,1,1991,25,14.5,0.208333333,0.208333333,1
54,Vietnamese,6,1,1,1988,28,21.5,0.211111111,0.211111111,1
55,Dutch,2,0,0,1979,37,14.5,0.211111111,0.211111111,1
