speakerid_x,age,age_onset,L1,L1_coded,sex,Eng_experience,typology,vowels,WER,MER,norm_area,mer_group
1885,26,2,arabic,1,1,98,0,6,0,0,942.193326,0
1964,28,3,arabic,1,0,97,0,6,0,0,1776.89707,0
1894,18,4,arabic,1,1,96,0,6,0,0,1709.57224,0
1253,34,6,arabic,1,1,94,0,6,0,0,988.316962,0
1753,20,7,arabic,1,0,94,0,6,0,0,1239.33227,0
1565,22,7,arabic,1,0,93,0,6,0,0,2386.68737,0
1841,47,7,arabic,1,1,93,0,6,0,0,1884.22475,0
1394,19,9,arabic,1,1,92,0,6,0,0,1677.69359,0
1486,23,12,arabic,1,0,84,0,6,0,0,888.057458,0
670,46,30,arabic,1,1,68,0,6,0,0,1711.22065,0
1076,18,0,BI_english,3,0,84,0,11,0,0,1087.00449,0
1215,18,0,BI_english,3,1,100,0,11,0,0,548.356972,0
1241,18,0,BI_english,3,1,100,0,11,0,0,791.326753,0
2012,19,0,BI_english,3,1,100,0,11,0,0,939.62775,0
1561,19,0,BI_english,3,1,100,0,11,0,0,773.615678,0
117,20,0,BI_english,3,0,100,0,11,0,0,1333.26153,0
1373,20,0,BI_english,3,1,100,0,11,0,0,2273.65644,0
1650,20,0,BI_english,3,0,100,0,11,0,0,760.832962,0
857,21,0,BI_english,3,0,100,0,11,0,0,605.895924,0
1093,24,0,BI_english,3,1,100,0,11,0,0,1014.84132,0
1294,25,0,BI_english,3,1,100,0,11,0,0,1236.66197,0
97,27,0,BI_english,3,0,100,0,11,0,0,1359.70032,0
77,30,0,BI_english,3,1,100,0,11,0,0,1061.78816,0
135,31,0,BI_english,3,0,100,0,11,0,0,440.466755,0
680,35,0,BI_english,3,1,100,0,11,0,0,1037.8852,0
1692,35,0,BI_english,3,1,100,0,11,0,0,1818.89401,0
604,38,0,BI_english,3,0,100,0,11,0,0,1367.1781,0
1295,43,0,BI_english,3,0,100,0,11,0,0,1553.44798,0
119,46,0,BI_english,3,1,100,0,11,0,0,1783.22212,0
1292,52,0,BI_english,3,0,100,0,11,0,0,626.231636,0
1348,59,0,BI_english,3,1,100,0,11,0,0,1670.96682,0
740,66,0,BI_english,3,0,100,0,11,0,0,967.279087,0
1300,29,7,dutch,6,0,94,0,13,0,0,1153.35108,0
1466,22,9,dutch,6,1,92,0,13,0,0,81.7844758,0
1484,25,9,dutch,6,0,91,0,13,0,0,1021.07002,0
1003,33,10,dutch,6,1,90,0,13,0,0,1788.98657,0
847,46,10,dutch,6,1,90,0,13,0,0,1439.66723,0
1705,21,11,dutch,6,0,84,0,13,0,0,9.78104959,0
1481,21,12,dutch,6,1,83,0,13,0,0,1558.36703,0
1004,35,12,dutch,6,1,83,0,13,0,0,2521.30772,0
1264,21,13,dutch,6,1,83,0,13,0,0,1639.08288,0
1266,23,13,dutch,6,1,82,0,13,0,0,1502.3434,0
1463,23,13,dutch,6,1,82,0,13,0,0,1554.22415,0
1462,21,14,dutch,6,1,82,0,13,0,0,1282.01888,0
1468,22,14,dutch,6,1,81,0,13,0,0,20.1444706,0
929,41,14,dutch,6,0,81,0,13,0,0,129.459039,0
