speakerid,L1,sex_1,sex_0,MER,read,conversational
1892,Arabic,0,1,0.014492754,1,0
1870,Arabic,0,1,0.086956522,1,0
2676,Arabic,0,1,0.043478261,1,0
2427,Arabic,0,1,0.057971014,1,0
2258,Arabic,0,1,0.115942029,1,0
1405,Arabic,0,1,0.228571429,1,0
1011,Arabic,0,1,0.042857143,1,0
1200,Arabic,0,1,0.086956522,1,0
2909,Arabic,0,1,0.085714286,1,0
2873,Arabic,0,1,0.014492754,1,0
1805,Arabic,0,1,0.086956522,1,0
1777,Arabic,0,1,1,1,0
1392,Arabic,0,1,1,1,0
539,Arabic,0,1,1,1,0
18,Arabic,0,1,1,1,0
2950,Arabic,0,1,0.144927536,1,0
2425,Arabic,0,1,0.338028169,1,0
2216,Arabic,0,1,0.043478261,1,0
2153,Arabic,0,1,0.094594595,1,0
1753,Arabic,0,1,0.072463768,1,0
1565,Arabic,0,1,0.057971014,1,0
1421,Arabic,0,1,0.1,1,0
970,Arabic,0,1,1,1,0
2741,Arabic,0,1,0.130434783,1,0
1460,Arabic,0,1,0.057971014,1,0
1702,Arabic,0,1,0.057142857,1,0
1700,Arabic,0,1,0.23943662,1,0
1700,Arabic,0,1,1,1,0
2312,Arabic,0,1,1,1,0
2196,Arabic,0,1,0.086956522,1,0
2160,Arabic,0,1,1,1,0
2087,Arabic,0,1,0.130434783,1,0
1013,Arabic,0,1,0.666666667,1,0
2331,Arabic,0,1,0.028985507,1,0
1901,Arabic,0,1,0.263157895,1,0
428,Arabic,0,1,0.428571429,1,0
1400,Arabic,0,1,1,1,0
2915,Arabic,0,1,1,1,0
2906,Arabic,0,1,1,1,0
2905,Arabic,0,1,0.043478261,1,0
2902,Arabic,0,1,1,1,0
2901,Arabic,0,1,0.828571429,1,0
2889,Arabic,0,1,0.333333333,1,0
2750,Arabic,0,1,0.12987013,1,0
2693,Arabic,0,1,1,1,0
2437,Arabic,0,1,0.144927536,1,0
2426,Arabic,0,1,0.144927536,1,0
2344,Arabic,0,1,0.057971014,1,0
2311,Arabic,0,1,0.072463768,1,0
2304,Arabic,0,1,1,1,0
2203,Arabic,0,1,1,1,0
2202,Arabic,0,1,1,1,0
1917,Arabic,0,1,0.043478261,1,0
1677,Arabic,0,1,1,1,0
1486,Arabic,0,1,0.028985507,1,0
1459,Arabic,0,1,1,1,0
1203,Arabic,0,1,0.086956522,1,0
1115,Arabic,0,1,1,1,0
643,Arabic,0,1,0.130434783,1,0
2900,Arabic,0,1,0.086956522,1,0
2842,Arabic,0,1,0.072463768,1,0
2452,Arabic,0,1,0.028985507,1,0
2321,Arabic,0,1,1,1,0
2257,Arabic,0,1,0.014492754,1,0
2256,Arabic,0,1,0.128571429,1,0
2254,Arabic,0,1,0.057971014,1,0
1457,Arabic,0,1,0.115942029,1,0
1422,Arabic,0,1,1,1,0
1420,Arabic,0,1,0.623188406,1,0
927,Arabic,0,1,0.028985507,1,0
2957,Arabic,0,1,0.028985507,1,0
2742,Arabic,0,1,1,1,0
1784,Arabic,0,1,0.101449275,1,0
1711,Arabic,0,1,0.130434783,1,0
20,Arabic,0,1,0.115942029,1,0
2968,Arabic,0,1,0.072463768,1,0
2720,Arabic,0,1,0.202898551,1,0
512,Arabic,0,1,0.115942029,1,0
1500,Arabic,0,1,0.130434783,1,0
1827,Arabic,0,1,0.086956522,1,0
1458,Arabic,0,1,0.492957747,1,0
1393,Arabic,0,1,0.114285714,1,0
1391,Arabic,0,1,1,1,0
471,Arabic,0,1,0.101449275,1,0
2780,Arabic,0,1,0.366197183,1,0
2508,Arabic,0,1,0.101449275,1,0
2345,Arabic,0,1,0.171428571,1,0
2310,Arabic,0,1,0.057971014,1,0
1914,Arabic,0,1,0.043478261,1,0
1526,Arabic,0,1,0.057971014,1,0
1116,Arabic,0,1,1,1,0
2200,Arabic,0,1,0.072463768,1,0
2914,Arabic,0,1,0.085714286,1,0
2899,Arabic,0,1,1,1,0
2832,Arabic,0,1,0.085714286,1,0
1768,Arabic,0,1,0.22972973,1,0
625,Arabic,0,1,0.295774648,1,0
2788,Arabic,0,1,0.17721519,1,0
2868,Arabic,0,1,1,1,0
1920,Arabic,0,1,0.217391304,1,0
1785,Arabic,0,1,0.173913044,1,0
1461,Arabic,0,1,0.188405797,1,0
2268,Arabic,0,1,0.642857143,1,0
2479,Arabic,0,1,0.278481013,1,0
1569,Arabic,0,1,0.028985507,1,0
437,Arabic,0,1,1,1,0
2253,Arabic,0,1,0.130434783,1,0
537,Dutch,0,1,0.115942029,1,0
1300,Dutch,0,1,0.043478261,1,0
1551,Dutch,0,1,0.057971014,1,0
1275,Dutch,0,1,0.057971014,1,0
1484,Dutch,0,1,0.043478261,1,0
2261,Dutch,0,1,0.109589041,1,0
1223,Dutch,0,1,0.072463768,1,0
956,Dutch,0,1,0.17948718,1,0
895,Dutch,0,1,0.186666667,1,0
743,Dutch,0,1,0.014492754,1,0
1705,Dutch,0,1,0.086956522,1,0
2248,Dutch,0,1,0.086956522,1,0
913,Dutch,0,1,0.043478261,1,0
2776,Dutch,0,1,0.086956522,1,0
1517,Dutch,0,1,0.028985507,1,0
1268,Dutch,0,1,0.057971014,1,0
57,Dutch,0,1,0.043478261,1,0
1464,Dutch,0,1,0.072463768,1,0
1262,Dutch,0,1,0.028985507,1,0
929,Dutch,0,1,0.043478261,1,0
58,Dutch,0,1,0.072463768,1,0
2783,French,0,1,0.028985507,1,0
1765,French,0,1,0.014492754,1,0
185,French,0,1,0.028985507,1,0
2786,French,0,1,0.086956522,1,0
741,French,0,1,0.014492754,1,0
1567,French,0,1,0.043478261,1,0
1424,French,0,1,0.014492754,1,0
811,French,0,1,0.130434783,1,0
1643,French,0,1,0.086956522,1,0
1189,French,0,1,0.130434783,1,0
1127,French,0,1,0.028985507,1,0
500,French,0,1,0.043478261,1,0
2111,French,0,1,0.042857143,1,0
1535,French,0,1,0.014492754,1,0
514,French,0,1,0.144927536,1,0
412,French,0,1,0.157142857,1,0
2758,French,0,1,0.217391304,1,0
1931,French,0,1,0.072463768,1,0
1729,French,0,1,0.086956522,1,0
1474,French,0,1,0.043478261,1,0
1023,French,0,1,0.115942029,1,0
860,French,0,1,0.057971014,1,0
804,French,0,1,0.028985507,1,0
755,French,0,1,0.028985507,1,0
633,French,0,1,0.144927536,1,0
628,French,0,1,0.144927536,1,0
1427,French,0,1,0.101449275,1,0
832,French,0,1,0.217391304,1,0
1306,French,0,1,0.028985507,1,0
683,French,0,1,0.086956522,1,0
180,French,0,1,0.028985507,1,0
2965,French,0,1,0.043478261,1,0
2784,French,0,1,0.043478261,1,0
1062,French,0,1,0.114285714,1,0
2785,French,0,1,0.057971014,1,0
1160,French,0,1,0.014492754,1,0
1080,French,0,1,0.043478261,1,0
186,French,0,1,1,1,0
1483,Polish,0,1,0.101449275,1,0
2189,Polish,0,1,0.043478261,1,0
1738,Polish,0,1,0.043478261,1,0
728,Polish,0,1,0.101449275,1,0
2064,Polish,0,1,0.057142857,1,0
1549,Polish,0,1,0.086956522,1,0
1653,Polish,0,1,0.043478261,1,0
1278,Polish,0,1,0.043478261,1,0
482,Polish,0,1,0.072463768,1,0
1651,Polish,0,1,0.185714286,1,0
1748,Polish,0,1,0.057971014,1,0
1671,Polish,0,1,0.202898551,1,0
1652,Polish,0,1,0.028985507,1,0
769,Polish,0,1,0.072463768,1,0
2062,Polish,0,1,0.028985507,1,0
958,Polish,0,1,0.142857143,1,0
2528,Polish,0,1,0.101449275,1,0
1737,Polish,0,1,0.144927536,1,0
883,Polish,0,1,0.043478261,1,0
1171,Polish,0,1,0.057142857,1,0
373,Thai,0,1,0.014492754,1,0
1488,Thai,0,1,0.072463768,1,0
1721,Thai,0,1,0.086956522,1,0
612,Thai,0,1,0.072463768,1,0
372,Thai,0,1,0.266666667,1,0
2333,Thai,0,1,0.144927536,1,0
698,Thai,0,1,0.217391304,1,0
1673,Thai,0,1,1,1,0
1055,Thai,0,1,0.217391304,1,0
2872,Vietnamese,0,1,0.057971014,1,0
1562,Vietnamese,0,1,0.144927536,1,0
2980,Vietnamese,0,1,0.028985507,1,0
2569,Vietnamese,0,1,0.154929578,1,0
2151,Vietnamese,0,1,0.101449275,1,0
2796,Vietnamese,0,1,0.2,1,0
2489,Vietnamese,0,1,0.057971014,1,0
2987,Vietnamese,0,1,0.142857143,1,0
2857,Vietnamese,0,1,0.086956522,1,0
2971,Vietnamese,0,1,0.072463768,1,0
447,Vietnamese,0,1,0.115942029,1,0
400,Vietnamese,0,1,0.231884058,1,0
395,Vietnamese,0,1,0.6,1,0
1134,Vietnamese,0,1,0.130434783,1,0
1809,Vietnamese,0,1,0.217391304,1,0
1201,Vietnamese,0,1,0.728571429,1,0
2099,Vietnamese,0,1,0.101449275,1,0
1850,Vietnamese,0,1,0.115942029,1,0
2991,Vietnamese,0,1,0.211267606,1,0
1698,Vietnamese,0,1,0.173913044,1,0
396,Vietnamese,0,1,0.465753425,1,0
399,Vietnamese,0,1,0.1,1,0
0,Arabic,0,1,0.415789474,0,1
1,Arabic,0,1,0.251748252,0,1
20,Arabic,0,1,0.0625,0,1
21,Arabic,0,1,0.058823529,0,1
22,Dutch,0,1,0.311111111,0,1
23,Dutch,0,1,0.225,0,1
24,Thai,0,1,0.25,0,1
25,Thai,0,1,0.314102564,0,1
28,French,0,1,0.236111111,0,1
29,French,0,1,0.1,0,1
41,Thai,0,1,0.104166667,0,1
44,Dutch,0,1,0.180147059,0,1
45,Arabic,0,1,0.275,0,1
46,Polish,0,1,0.1,0,1
47,Vietnamese,0,1,0.253968254,0,1
49,Dutch,0,1,0.355555556,0,1
51,Vietnamese,0,1,0.35625,0,1
52,Vietnamese,0,1,0.286363636,0,1
53,Thai,0,1,0.222222222,0,1
54,French,0,1,0.233333333,0,1
55,French,0,1,0.5,0,1
58,Polish,0,1,0.277777778,0,1
62,French,0,1,1,0,1
63,French,0,1,0.135106383,0,1
64,Thai,0,1,0.387179487,0,1
65,Thai,0,1,0.242857143,0,1
69,French,0,1,0.714285714,0,1
70,Dutch,0,1,0.118055556,0,1
72,Polish,0,1,0.152777778,0,1
74,Vietnamese,0,1,0.163461538,0,1
77,French,0,1,0.1875,0,1
82,Arabic,0,1,,0,1
83,French,0,1,0.46969697,0,1
84,Polish,0,1,0.25,0,1
87,Thai,0,1,0.319444444,0,1
89,Polish,0,1,0.303030303,0,1
91,Arabic,0,1,0.205555556,0,1
92,French,0,1,0.266666667,0,1
93,Polish,0,1,0.095454545,0,1
95,Arabic,0,1,0.5,0,1
96,Arabic,0,1,0.8125,0,1
99,Thai,0,1,0.283333333,0,1
100,Vietnamese,0,1,0.251207729,0,1
103,Dutch,0,1,0.244318182,0,1
104,Polish,0,1,0.172453704,0,1
105,Vietnamese,0,1,0.184615385,0,1
106,Polish,0,1,0.266666667,0,1
108,Dutch,0,1,0.291666667,0,1
110,French,0,1,0.666666667,0,1
112,Thai,0,1,0.107142857,0,1
113,Dutch,0,1,0.26984127,0,1
115,Dutch,0,1,0.23989899,0,1
119,French,0,1,0.170940171,0,1
122,Vietnamese,0,1,0.416666667,0,1
124,French,0,1,0.170940171,0,1
126,Vietnamese,0,1,0.222222222,0,1
127,Vietnamese,0,1,0.180555556,0,1
129,Arabic,0,1,0.122222222,0,1
131,Thai,0,1,0.291666667,0,1
132,Polish,0,1,0.125,0,1
133,Vietnamese,0,1,0.104166667,0,1
134,Dutch,0,1,0.118055556,0,1
135,Arabic,0,1,0.666666667,0,1
139,Dutch,0,1,0.111111111,0,1
141,Polish,0,1,0.240740741,0,1
143,Vietnamese,0,1,0.237903226,0,1
146,Dutch,0,1,0.198412698,0,1
149,Arabic,0,1,1,0,1
150,Polish,0,1,0.303030303,0,1
151,Dutch,0,1,0.180555556,0,1
156,Arabic,0,1,0.163461538,0,1
2008,Arabic,1,0,0.014492754,1,0
1894,Arabic,1,0,0.072463768,1,0
2300,Arabic,1,0,0.308641975,1,0
2598,Arabic,1,0,0.043478261,1,0
2217,Arabic,1,0,0.101449275,1,0
2811,Arabic,1,0,0.136986301,1,0
2734,Arabic,1,0,0.086956522,1,0
2730,Arabic,1,0,0.057142857,1,0
2433,Arabic,1,0,0.142857143,1,0
2200,Arabic,1,0,0.014492754,1,0
1253,Arabic,1,0,0.028985507,1,0
2913,Arabic,1,0,0.028985507,1,0
2912,Arabic,1,0,0.072463768,1,0
2607,Arabic,1,0,0.101449275,1,0
1841,Arabic,1,0,0.028985507,1,0
1455,Arabic,1,0,0.47826087,1,0
2864,Arabic,1,0,0.043478261,1,0
1426,Arabic,1,0,0.115942029,1,0
1133,Arabic,1,0,0.043478261,1,0
2488,Arabic,1,0,0.208333333,1,0
2114,Arabic,1,0,0.043478261,1,0
1487,Arabic,1,0,0.028985507,1,0
1394,Arabic,1,0,0.094594595,1,0
2205,Arabic,1,0,0.101449275,1,0
2204,Arabic,1,0,0.115942029,1,0
2159,Arabic,1,0,0.115942029,1,0
2143,Arabic,1,0,0.536231884,1,0
2112,Arabic,1,0,0.101449275,1,0
2005,Arabic,1,0,0.115942029,1,0
1778,Arabic,1,0,0.057971014,1,0
1769,Arabic,1,0,0.072463768,1,0
920,Arabic,1,0,0.115942029,1,0
2809,Arabic,1,0,0.101449275,1,0
1832,Arabic,1,0,0.014492754,1,0
1204,Arabic,1,0,0.782608696,1,0
2981,Arabic,1,0,0.043478261,1,0
2910,Arabic,1,0,0.275362319,1,0
2903,Arabic,1,0,0.361111111,1,0
2771,Arabic,1,0,0.116883117,1,0
2749,Arabic,1,0,0.057142857,1,0
2592,Arabic,1,0,0.101449275,1,0
2584,Arabic,1,0,0.144927536,1,0
2550,Arabic,1,0,0.115942029,1,0
2470,Arabic,1,0,0.118421053,1,0
2410,Arabic,1,0,0.072463768,1,0
2399,Arabic,1,0,0.115942029,1,0
2201,Arabic,1,0,0.028985507,1,0
2086,Arabic,1,0,0.217391304,1,0
2036,Arabic,1,0,0.188405797,1,0
1927,Arabic,1,0,0.014492754,1,0
1456,Arabic,1,0,0.086956522,1,0
1181,Arabic,1,0,0.375,1,0
1100,Arabic,1,0,0.121621622,1,0
2945,Arabic,1,0,0.057971014,1,0
2407,Arabic,1,0,0.191780822,1,0
2243,Arabic,1,0,0.202898551,1,0
