speakerid,Age,L1,L1_coded,Sex,WER,MER,Norm_area
1544,26,English_BI,1,0,0.260869565,0.257142857,534.06501
516,19,English_BI,1,0,0.188405797,0.183098592,330.097996
900,66,English_BI,1,0,0.173913043,0.173913043,609.151834
638,19,English_BI,1,0,0.144927536,0.142857143,621.912777
1502,22,English_BI,1,1,0.130434783,0.125,315.201436
2003,61,English_BI,1,0,0.130434783,0.126760563,1399.30731
901,67,English_BI,1,1,0.130434783,0.125,621.748282
1642,21,English_BI,1,0,0.115942029,0.114285714,712.401763
771,50,English_BI,1,0,0.115942029,0.105263158,964.952513
419,21,English_BI,1,0,0.101449275,0.098591549,480.820737
1688,22,English_BI,1,1,0.101449275,0.101449275,321.862296
149,31,English_BI,1,0,0.101449275,0.101449275,514.286211
772,38,English_BI,1,0,0.101449275,0.093333333,1278.59852
773,42,English_BI,1,1,0.101449275,0.094594595,1099.20857
754,45,English_BI,1,0,0.101449275,0.095890411,50.4978538
774,59,English_BI,1,1,0.101449275,0.092105263,1139.10188
2171,60,English_BI,1,0,0.101449275,0.095890411,980.868843
852,19,English_BI,1,0,0.086956522,0.086956522,844.006982
1380,20,English_BI,1,1,0.072463768,0.071428571,1020.90028
1536,20,English_BI,1,0,0.072463768,0.072463768,1064.3127
1138,29,English_BI,1,0,0.072463768,0.071428571,1673.46063
1101,34,English_BI,1,0,0.072463768,0.071428571,929.62402
69,71,English_BI,1,1,0.072463768,0.067567568,1347.75175
118,34,English_BI,1,0,0.057971014,0.057142857,946.363644
738,20,English_BI,1,0,0.043478261,0.042857143,951.822569
1287,20,English_BI,1,0,0.043478261,0.043478261,1535.15895
1281,21,English_BI,1,0,0.043478261,0.042857143,1439.00562
492,25,English_BI,1,0,0.043478261,0.043478261,62.8531483
1293,25,English_BI,1,1,0.043478261,0.042253521,763.706206
443,31,English_BI,1,0,0.043478261,0.043478261,882.056712
611,35,English_BI,1,0,0.043478261,0.042857143,1457.44594
82,37,English_BI,1,0,0.043478261,0.042857143,1040.73078
