speakerid_x,L1,L1_coded,WER,MER,speech_type
1422,Arabic,1,0.47826087,0.452054795,1
1458,Arabic,1,0.347826087,0.311688312,1
1920,Arabic,1,0.231884058,0.222222222,1
970,Arabic,1,0.217391304,0.202702703,1
2086,Arabic,1,0.217391304,0.2,1
1421,Arabic,1,0.202898551,0.189189189,1
2036,Arabic,1,0.188405797,0.183098592,1
20,Arabic,1,0.188405797,0.185714286,1
1116,Arabic,1,0.188405797,0.183098592,1
17,Arabic,1,0.173913043,0.169014085,1
1901,Arabic,1,0.173913043,0.157894737,1
1181,Arabic,1,0.173913043,0.166666667,1
1405,Arabic,1,0.15942029,0.150684932,1
1115,Arabic,1,0.15942029,0.157142857,1
1461,Arabic,1,0.15942029,0.157142857,1
1012,Arabic,1,0.144927536,0.138888889,1
1784,Arabic,1,0.144927536,0.142857143,1
437,Arabic,1,0.144927536,0.136986301,1
2154,Arabic,1,0.130434783,0.125,1
18,Arabic,1,0.130434783,0.126760563,1
1459,Arabic,1,0.130434783,0.130434783,1
11,Arabic,1,0.130434783,0.128571429,1
1391,Arabic,1,0.130434783,0.130434783,1
1700,Arabic,1,0.115942029,0.111111111,1
920,Arabic,1,0.115942029,0.115942029,1
1778,Arabic,1,0.115942029,0.114285714,1
2087,Arabic,1,0.115942029,0.114285714,1
1204,Arabic,1,0.115942029,0.111111111,1
428,Arabic,1,0.115942029,0.114285714,1
1810,Arabic,1,0.115942029,0.112676056,1
1768,Arabic,1,0.115942029,0.114285714,1
2022,Arabic,1,0.115942029,0.111111111,1
2155,Arabic,1,0.101449275,0.1,1
1832,Arabic,1,0.101449275,0.1,1
2112,Arabic,1,0.086956522,0.084507042,1
1769,Arabic,1,0.086956522,0.084507042,1
2159,Arabic,1,0.086956522,0.085714286,1
2005,Arabic,1,0.086956522,0.085714286,1
1456,Arabic,1,0.086956522,0.085714286,1
643,Arabic,1,0.086956522,0.086956522,1
1457,Arabic,1,0.086956522,0.085714286,1
471,Arabic,1,0.086956522,0.085714286,1
22,Arabic,1,0.086956522,0.085714286,1
625,Arabic,1,0.086956522,0.085714286,1
539,Arabic,1,0.072463768,0.072463768,1
1702,Arabic,1,0.072463768,0.070422535,1
1899,Arabic,1,0.072463768,0.071428571,1
1393,Arabic,1,0.072463768,0.072463768,1
1785,Arabic,1,0.072463768,0.070422535,1
1569,Arabic,1,0.072463768,0.070422535,1
12,Arabic,1,0.057971014,0.054794521,1
1392,Arabic,1,0.057971014,0.057971014,1
1133,Arabic,1,0.057971014,0.057142857,1
2160,Arabic,1,0.057971014,0.057971014,1
927,Arabic,1,0.057971014,0.057142857,1
21,Arabic,1,0.057971014,0.057142857,1
1827,Arabic,1,0.057971014,0.057142857,1
2153,Arabic,1,0.043478261,0.042253521,1
1455,Arabic,1,0.043478261,0.042857143,1
1460,Arabic,1,0.043478261,0.043478261,1
1426,Arabic,1,0.043478261,0.043478261,1
1013,Arabic,1,0.043478261,0.042857143,1
1203,Arabic,1,0.043478261,0.043478261,1
1420,Arabic,1,0.043478261,0.043478261,1
1711,Arabic,1,0.043478261,0.043478261,1
15,Arabic,1,0.043478261,0.043478261,1
16,Arabic,1,0.028985507,0.028571429,1
1897,Arabic,1,0.028985507,0.028985507,1
2008,Arabic,1,0.028985507,0.028985507,1
1805,Arabic,1,0.028985507,0.028985507,1
2114,Arabic,1,0.028985507,0.028169014,1
14,Arabic,1,0.028985507,0.028985507,1
1927,Arabic,1,0.028985507,0.028571429,1
1917,Arabic,1,0.028985507,0.028985507,1
13,Arabic,1,0.028985507,0.028985507,1
2157,Arabic,1,0.028985507,0.028985507,1
1914,Arabic,1,0.028985507,0.028571429,1
1526,Arabic,1,0.028985507,0.028571429,1
1828,Arabic,1,0.028985507,0.028571429,1
2161,Arabic,1,0.014492754,0.014492754,1
1870,Arabic,1,0.014492754,0.014492754,1
1892,Arabic,1,0.014492754,0.014285714,1
23,Arabic,1,0.014492754,0.014492754,1
1011,Arabic,1,0.014492754,0.014285714,1
1777,Arabic,1,0.014492754,0.014492754,1
1487,Arabic,1,0.014492754,0.014492754,1
2143,Arabic,1,0.014492754,0.014492754,1
1677,Arabic,1,0.014492754,0.014492754,1
1963,Arabic,1,0.014492754,0.014492754,1
19,Arabic,1,0.014492754,0.014492754,1
512,Arabic,1,0.014492754,0.014492754,1
1699,Arabic,1,0.014492754,0.014492754,1
1885,Arabic,1,0,0,1
1964,Arabic,1,0,0,1
1894,Arabic,1,0,0,1
1253,Arabic,1,0,0,1
1753,Arabic,1,0,0,1
1565,Arabic,1,0,0,1
1841,Arabic,1,0,0,1
1394,Arabic,1,0,0,1
1486,Arabic,1,0,0,1
670,Arabic,1,0,0,1
3000,Arabic,1,0.471878122,0.471878122,2
3001,Arabic,1,0.416666667,0.416666667,2
3002,Arabic,1,0.430769231,0.397435897,2
3003,Arabic,1,0.375,0.375,2
3004,Arabic,1,0.375,0.375,2
3005,Arabic,1,0.392307692,0.366666667,2
3006,Arabic,1,0.350961538,0.350961538,2
3007,Arabic,1,0.320512821,0.320512821,2
3008,Arabic,1,0.472222222,0.316666667,2
3009,Arabic,1,0.307142857,0.3,2
3010,Arabic,1,0.291666667,0.291666667,2
3011,Arabic,1,0.26984127,0.26984127,2
3012,Arabic,1,0.277777778,0.261111111,2
3013,Arabic,1,0.25,0.25,2
3014,Arabic,1,0.229166667,0.229166667,2
3015,Arabic,1,0.18872549,0.18872549,2
3016,Arabic,1,0.15,0.15,2
3017,Arabic,1,0.143995098,0.143995098,2
3018,Arabic,1,0.127678571,0.126488095,2
3019,Arabic,1,0.125,0.125,2
3020,Arabic,1,0.122222222,0.122222222,2
537,Dutch,2,0.072463768,0.072463768,1
1223,Dutch,2,0.072463768,0.072463768,1
956,Dutch,2,0.072463768,0.071428571,1
1473,Dutch,2,0.072463768,0.071428571,1
1464,Dutch,2,0.072463768,0.067567568,1
1551,Dutch,2,0.057971014,0.057142857,1
743,Dutch,2,0.057971014,0.057971014,1
57,Dutch,2,0.057971014,0.057971014,1
1517,Dutch,2,0.057971014,0.057142857,1
1263,Dutch,2,0.043478261,0.043478261,1
1740,Dutch,2,0.043478261,0.043478261,1
1265,Dutch,2,0.043478261,0.043478261,1
770,Dutch,2,0.043478261,0.043478261,1
1742,Dutch,2,0.028985507,0.028571429,1
1275,Dutch,2,0.028985507,0.028985507,1
1261,Dutch,2,0.028985507,0.028985507,1
1476,Dutch,2,0.028985507,0.028985507,1
1743,Dutch,2,0.028985507,0.028985507,1
896,Dutch,2,0.028985507,0.028985507,1
897,Dutch,2,0.028985507,0.028571429,1
1262,Dutch,2,0.028985507,0.028985507,1
58,Dutch,2,0.028985507,0.028985507,1
1482,Dutch,2,0.014492754,0.014492754,1
1479,Dutch,2,0.014492754,0.014492754,1
2115,Dutch,2,0.014492754,0.014492754,1
1260,Dutch,2,0.014492754,0.014492754,1
913,Dutch,2,0.014492754,0.014492754,1
1274,Dutch,2,0.014492754,0.014492754,1
1268,Dutch,2,0.014492754,0.014492754,1
1270,Dutch,2,0.014492754,0.014492754,1
1271,Dutch,2,0.014492754,0.014492754,1
1269,Dutch,2,0.014492754,0.014492754,1
1300,Dutch,2,0,0,1
1466,Dutch,2,0,0,1
1484,Dutch,2,0,0,1
1003,Dutch,2,0,0,1
847,Dutch,2,0,0,1
1705,Dutch,2,0,0,1
1481,Dutch,2,0,0,1
1004,Dutch,2,0,0,1
1264,Dutch,2,0,0,1
1266,Dutch,2,0,0,1
1463,Dutch,2,0,0,1
1462,Dutch,2,0,0,1
1468,Dutch,2,0,0,1
929,Dutch,2,0,0,1
3021,Dutch,2,0.355555556,0.355555556,2
