speakerid,native_language,native_lang_code,age,wer,mer,L1_American,L1_Australian,L1_British,L1_Canadian,sex_0,sex_1
679,American,10,28,0.260869565,0.257142857,1,0,0,0,0,1
80,American,10,19,0.246376812,0.246376812,1,0,0,0,1,0
1188,American,10,26,0.231884058,0.231884058,1,0,0,0,0,1
142,American,10,23,0.231884058,0.231884058,1,0,0,0,1,0
1310,British,2,20,0.231884058,0.228571429,0,0,1,0,1,0
2047,American,10,24,0.217391304,0.217391304,1,0,0,0,1,0
1688,British,2,25,0.217391304,0.217391304,0,0,1,0,0,1
1075,American,10,26,0.217391304,0.214285714,1,0,0,0,1,0
164,American,10,45,0.217391304,0.214285714,1,0,0,0,1,0
2207,American,10,18,0.202898551,0.202898551,1,0,0,0,0,1
2043,American,10,28,0.202898551,0.202898551,1,0,0,0,1,0
1728,American,10,31,0.202898551,0.202898551,1,0,0,0,1,0
1674,American,10,18,0.202898551,0.202898551,1,0,0,0,1,0
1559,American,10,35,0.202898551,0.202898551,1,0,0,0,1,0
1555,American,10,35,0.202898551,0.202898551,1,0,0,0,1,0
1277,American,10,25,0.202898551,0.202898551,1,0,0,0,0,1
1119,American,10,22,0.202898551,0.202898551,1,0,0,0,1,0
764,American,10,22,0.202898551,0.202898551,1,0,0,0,1,0
667,American,10,28,0.202898551,0.202898551,1,0,0,0,0,1
631,American,10,28,0.202898551,0.202898551,1,0,0,0,0,1
555,American,10,26,0.202898551,0.202898551,1,0,0,0,1,0
160,American,10,26,0.202898551,0.202898551,1,0,0,0,0,1
157,American,10,29,0.202898551,0.202898551,1,0,0,0,0,1
139,American,10,29,0.202898551,0.202898551,1,0,0,0,1,0
138,American,10,60,0.202898551,0.202898551,1,0,0,0,0,1
130,American,10,23,0.202898551,0.202898551,1,0,0,0,0,1
125,American,10,24,0.202898551,0.202898551,1,0,0,0,1,0
124,American,10,38,0.202898551,0.202898551,1,0,0,0,1,0
136,Australian,17,19,0.202898551,0.202898551,0,1,0,0,0,1
1692,British,2,52,0.202898551,0.202898551,0,0,1,0,0,1
1969,Canadian,18,49,0.202898551,0.202898551,0,0,0,1,1,0
1113,Canadian,18,41,0.202898551,0.202898551,0,0,0,1,0,1
541,Canadian,18,18,0.202898551,0.202898551,0,0,0,1,1,0
64,Canadian,18,93,0.202898551,0.202898551,0,0,0,1,0,1
419,British,2,29,0.202898551,0.197183099,0,0,1,0,0,1
875,American,10,58,0.188405797,0.1625,1,0,0,0,0,1
2960,Canadian,18,23,0.15942029,0.15942029,0,0,0,1,1,0
754,British,2,50,0.15942029,0.150684932,0,0,1,0,0,1
772,British,2,29,0.15942029,0.144736842,0,0,1,0,0,1
1336,American,10,24,0.144927536,0.14084507,1,0,0,0,1,0
3007,American,10,22,0.15942029,0.139240506,1,0,0,0,1,0
2171,British,2,23,0.144927536,0.138888889,0,0,1,0,0,1
2804,American,10,21,0.130434783,0.130434783,1,0,0,0,0,1
87,Canadian,18,58,0.144927536,0.12987013,0,0,0,1,1,0
1345,American,10,25,0.130434783,0.128571429,1,0,0,0,1,0
638,British,2,38,0.130434783,0.128571429,0,0,1,0,0,1
1094,British,2,42,0.130434783,0.12,0,0,1,0,0,1
1342,American,10,19,0.130434783,0.118421053,1,0,0,0,0,1
1726,American,10,25,0.130434783,0.116883117,1,0,0,0,0,1
525,Australian,17,29,0.115942029,0.115942029,0,1,0,0,0,1
1101,British,2,29,0.115942029,0.115942029,0,0,1,0,0,1
149,British,2,22,0.115942029,0.115942029,0,0,1,0,0,1
118,British,2,21,0.115942029,0.115942029,0,0,1,0,0,1
1138,British,2,21,0.115942029,0.114285714,0,0,1,0,0,1
82,British,2,20,0.115942029,0.114285714,0,0,1,0,0,1
427,American,10,18,0.115942029,0.108108108,1,0,0,0,1,0
773,British,2,19,0.115942029,0.108108108,0,0,1,0,0,1
105,American,10,20,0.115942029,0.106666667,1,0,0,0,0,1
533,Australian,17,43,0.101449275,0.101449275,0,1,0,0,1,0
86,Canadian,18,21,0.101449275,0.101449275,0,0,0,1,1,0
2606,American,10,82,0.101449275,0.1,1,0,0,0,0,1
1339,American,10,39,0.101449275,0.1,1,0,0,0,1,0
1642,British,2,39,0.101449275,0.1,0,0,1,0,1,0
1996,American,10,48,0.086956522,0.086956522,1,0,0,0,0,1
1528,American,10,76,0.086956522,0.086956522,1,0,0,0,0,1
861,American,10,83,0.086956522,0.086956522,1,0,0,0,0,1
663,American,10,80,0.086956522,0.086956522,1,0,0,0,0,1
2445,Australian,17,64,0.086956522,0.086956522,0,1,0,0,0,1
2440,Australian,17,30,0.086956522,0.086956522,0,1,0,0,0,1
1419,Australian,17,25,0.086956522,0.086956522,0,1,0,0,1,0
1350,Australian,17,50,0.086956522,0.086956522,0,1,0,0,0,1
2362,British,2,46,0.086956522,0.086956522,0,0,1,0,1,0
852,British,2,24,0.086956522,0.086956522,0,0,1,0,1,0
516,British,2,63,0.086956522,0.086956522,0,0,1,0,0,1
443,British,2,38,0.086956522,0.086956522,0,0,1,0,0,1
